id,igralec,ekipa,odigrane_igre,minute_natekmo,toèke_na_tekmo,met_iz_igre,trojke,prosti_meti
6580,Bradley Beal,WSH,77,34.9,23.1,482,404,825
2490149,CJ McCollum,POR,80,35.0,23.0,480,421,912
3032977,Giannis Antetokounmpo,MIL,80,35.6,22.9,521,272,770
1975,Carmelo Anthony,NY,74,34.3,22.4,433,359,833
3012,Kyle Lowry,TOR,60,37.4,22.4,464,412,819
6475,Klay Thompson,GS,78,34.0,22.3,468,414,853
3136193,Devin Booker,PHX,78,35.0,22.1,423,363,832
4249,Gordon Hayward,UTAH,73,34.5,21.9,471,398,844
3989,Blake Griffin,LAC,61,34.0,21.6,493,336,760
4238,Eric Bledsoe,PHX,66,33.0,21.1,434,335,847
3448,Brook Lopez,BKN,75,29.6,20.5,474,346,810
3195,Mike Conley,MEM,69,33.2,20.5,459,407,859
3423,Goran Dragic,MIA,73,33.7,20.3,475,405,790
3206,Marc Gasol,MEM,74,34.2,19.5,459,388,837
6578,Harrison Barnes,DAL,79,35.5,19.2,468,351,861
3449,Kevin Love,CLE,60,31.4,19.0,427,373,871
1987,Dwyane Wade,CHI,60,29.9,18.3,434,310,794
3428,Danilo Gallinari,DEN,63,33.9,18.2,447,389,902
3102531,Kristaps Porzingis,NY,66,32.8,18.1,450,357,786
2779,Chris Paul,LAC,61,31.5,18.1,476,411,892
3015,Paul Millsap,ATL,69,34.0,18.1,442,311,768
3456,Derrick Rose,NY,64,32.5,18.0,471,217,874
3032979,Dennis Schroder,ATL,79,31.5,17.9,451,340,855
2382,Devin Harris,DAL,65,16.7,6.7,399,328,829
2579321,James Ennis III,MEM,64,23.5,6.7,455,372,782
2531367,Dwight Powell,DAL,77,17.3,6.7,515,284,759
3033,PJ Tucker,PHX/TOR,81,27.6,6.7,413,357,774
3444,Kosta Koufos,SAC,71,20.0,6.6,551,0,613
2530596,Andre Roberson,OKC,79,30.1,6.6,464,245,423
3917376,Jaylen Brown,BOS,78,17.2,6.6,454,341,685
3974,Dante Cunningham,NO,66,25.0,6.6,485,392,593
2991184,Sam Dekker,HOU,77,18.4,6.5,473,321,559
2769,Amir Johnson,BOS,80,20.1,6.5,576,409,670
3893019,Timothe Luwawu-Cabarrot,PHI,69,17.2,6.4,402,311,854
4385,Mirza Teletovic,MIL,70,16.2,6.4,373,341,778
2488826,Rodney McGruder,MIA,78,25.2,6.4,413,332,620
3133603,Kelly Oubre Jr.,WSH,79,20.3,6.3,421,287,758
6615,Kyle O'Quinn,NY,79,15.6,6.3,521,118,771
2166,Leandro Barbosa,PHX,67,14.4,6.3,439,357,889
3138120,Mindaugas Kuzminskas,NY,68,14.9,6.3,429,321,809
3102528,Dante Exum,UTAH,66,18.6,6.2,427,295,795
2490089,Mike Muscala,ATL,70,17.7,6.2,504,418,766
4269,Nemanja Bjelica,MIN,65,18.3,6.2,424,316,738
3136196,Trey Lyles,UTAH,71,16.3,6.2,362,319,722
2579466,Jonathon Simmons,SA,78,17.8,6.2,420,294,750
3452,JaVale McGee,GS,77,9.6,6.1,652,0,505
2016,Zaza Pachulia,GS,70,18.1,6.1,534,0,778
2991039,Glenn Robinson III,IND,69,20.7,6.1,467,392,711
3451,Luc Mbah a Moute,LAC,80,22.3,6.1,505,391,678
2995702,Alex Abrines,OKC,68,15.5,6.0,393,381,898
6427,Bismack Biyombo,ORL,81,22.1,6.0,528,0,534
3155942,Domantas Sabonis,OKC,81,20.1,5.9,399,321,657
